",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"9084" ",\"PRPF40A,4497,5991,4079,5740,4020,4874,3808,4732,3582,2789,3081,2213\""
"9085" ",\"PRPF40B,22,31,36,26,29,16,26,25,30,23,17,18\""
"9086" ",\"PRPF4B,3315,4489,2926,4044,3115,3653,3762,4512,3429,2751,3080,2253\""
"9087" ",\"PRPF6,1064,1566,1104,1593,1401,1190,974,1363,917,895,992,729\""
"9088" ",\"PRPF8,3465,5662,4320,4946,5483,4487,3887,4952,3392,3040,3819,3211\""
"9089" ",\"PRPS1,663,955,623,907,809,723,703,967,600,503,620,412\""
"9090" ",\"PRPS1L1,25,30,26,25,25,29,38,37,34,19,25,21\""
"9091" ",\"PRPS1P2,21,33,21,44,23,30,35,40,20,23,24,19\""
"9092" ",\"PRPS2,1065,1361,992,960,765,756,978,1197,904,336,390,304\""
"9093" ",\"PRPSAP1,177,237,175,230,178,170,193,285,187,238,247,197\""
"9094" ",\"PRPSAP2,512,678,486,914,646,700,462,569,460,471,532,378\""
"9095" ",\"PRR11,329,517,346,420,329,317,354,425,317,286,278,272\""
"9096" ",\"PRR12,43,102,52,69,67,51,67,86,57,63,46,45\""
"9097" ",\"PRR13,55,66,46,64,79,57,49,52,30,25,35,24\""
"9098" ",\"PRR13P5,9,13,4,13,19,8,17,13,8,5,8,11\""
"9099" ",\"PRR14,113,180,123,152,154,122,161,201,162,98,112,114\""
"9100" ",\"PRR14L,1493,2184,1601,2001,1741,1735,1815,2242,1560,1444,1645,1364\""
"9101" ",\"PRR22,20,39,21,26,56,26,16,16,9,16,20,23\""
"9102" ",\"PRR29,11,17,12,12,16,8,4,6,2,2,0,1\""
"9103" ",\"PRR3,234,301,255,285,273,269,182,218,144,110,119,109\""
"9104" ",\"PRR4,58,62,50,68,42,49,83,102,63,59,59,48\""
"9105" ",\"PRR5,22,54,39,55,74,50,74,112,71,70,85,84\""
"9106" ",\"PRR7,32,51,53,44,65,41,28,45,27,20,20,11\""
"9107" ",\"PRR7-AS1,15,23,20,15,12,22,15,19,10,18,8,12\""
"9108" ",\"PRRC1,689,939,595,743,642,679,589,709,572,385,449,345\""
"9109" ",\"PRRC2A,686,1017,688,832,853,699,973,1158,738,653,634,606\""
"9110" ",\"PRRC2B,296,447,331,365,365,289,386,471,324,245,261,211\""
"9111" ",\"PRRC2C,3878,5304,3748,4473,3656,4158,3916,4546,3030,2291,2457,1957\""
"9112" ",\"PRRG2,19,35,28,26,33,10,28,37,24,24,23,28\""
"9113" ",\"PRRG4,45,78,42,97,80,89,63,76,75,20,42,21\""
"9114" ",\"PRRT1,11,9,11,6,14,6,27,37,28,41,38,41\""
"9115" ",\"PRRT3,9,13,4,5,14,14,13,15,7,19,24,16\""
"9116" ",\"PRSS12,102,167,112,128,124,114,141,235,170,157,187,111\""
"9117" ",\"PRSS23,23,35,18,28,21,23,28,37,32,19,17,15\""
"9118" ",\"PRSS36,6,9,6,11,13,10,6,20,10,7,11,13\""
"9119" ",\"PRSS53,14,16,6,10,12,7,14,15,7,14,20,15\""
"9120" ",\"PRSS57,29,39,34,30,20,33,13,21,8,5,3,4\""
"9121" ",\"PRSS8,2,1,0,3,6,7,1,5,1,20,16,19\""
"9122" ",\"PRTN3,5,3,1,14,25,19,0,1,1,3,1,5\""
"9123" ",\"PRUNE1,122,216,175,159,163,139,163,181,131,96,96,62\""
"9124" ",\"PRUNE2,24,15,13,12,9,11,21,21,13,14,16,10\""
"9125" ",\"PRX,35,66,41,43,57,42,53,71,55,54,55,51\""
"9126" ",\"PRXL2A,445,639,385,519,408,413,116,139,88,79,73,64\""
"9127" ",\"PRXL2B,44,89,64,63,89,51,73,100,76,75,74,71\""
"9128" ",\"PRXL2C,403,549,385,326,304,340,141,175,139,50,55,51\""
"9129" ",\"PSAP,897,1327,1001,1098,1132,877,1113,1425,966,988,1235,1205\""
"9130" ",\"PSAT1,988,1347,1113,1723,1022,670,2936,3825,2684,2284,2707,2159\""
"9131" ",\"PSAT1P1,1,11,4,11,4,5,13,33,14,8,20,6\""
"9132" ",\"PSAT1P3,117,183,135,185,122,87,370,475,377,276,349,306\""
"9133" ",\"PSAT1P4,20,31,13,24,16,16,43,87,43,36,40,24\""
"9134" ",\"PSD,4,7,3,7,3,4,15,22,9,21,15,15\""
"9135" ",\"PSD4,355,533,400,409,462,316,283,403,280,117,129,109\""
"9136" ",\"PSEN1,846,1202,892,1124,880,911,681,808,612,469,504,405\""
"9137" ",\"PSEN2,38,74,51,67,77,52,42,38,25,13,21,17\""
"9138" ",\"PSENEN,141,208,154,179,138,123,137,174,133,93,87,59\""
"9139" ",\"PSIP1,2330,2988,1978,2753,1940,2039,2029,2677,1822,1826,2224,1341\""
"9140" ",\"PSKH1,66,124,121,101,113,86,116,131,85,56,72,63\""
"9141" ",\"PSMA1,614,760,595,796,545,588,520,801,529,501,564,376\""
"9142" ",\"PSMA2,130,153,96,131,95,115,72,76,71,61,68,32\""
"9143" ",\"PSMA2P2,9,13,10,25,5,6,8,18,4,5,8,7\""
"9144" ",\"PSMA2P3,63,109,58,104,53,87,61,53,66,34,57,42\""
"9145" ",\"PSMA3,1242,1658,1119,1570,1126,1218,1053,1372,960,750,777,555\""
"9146" ",\"PSMA3-AS1,702,854,610,700,517,616,592,765,564,648,669,468\""
"9147" ",\"PSMA4,2447,3283,2197,3044,2190,2431,1759,2318,1562,1240,1390,989\""
"9148" ",\"PSMA5,1352,1765,1254,1693,1362,1344,1193,1483,1061,859,1012,737\""
"9149" ",\"PSMA6,141,175,146,172,147,144,117,171,111,107,96,83\""
"9150" ",\"PSMA6P1,414,552,404,589,404,447,336,458,274,253,269,217\""
"9151" ",\"PSMA6P2,55,70,50,54,39,51,37,50,37,25,34,25\""
"9152" ",\"PSMA7,1684,2355,1617,2284,1837,1896,1250,1596,1073,1077,1078,812\""
"9153" ",\"PSMB1,2658,3381,2390,3588,2589,2741,2018,2665,1875,1767,1843,1360\""
"9154" ",\"PSMB10,41,75,51,50,37,29,64,86,53,35,26,23\""
"9155" ",\"PSMB2,606,1082,794,876,866,864,672,953,640,477,547,424\""
"9156" ",\"PSMB3,1017,1421,924,1474,1170,1015,780,1076,671,563,600,427\""
"9157" ",\"PSMB4,1353,1951,1379,1781,1447,1410,983,1428,915,897,967,784\""
"9158" ",\"PSMB5,695,943,735,1158,976,1007,594,808,559,641,687,523\""
"9159" ",\"PSMB6,873,1128,812,1353,1100,945,638,879,662,499,540,482\""
"9160" ",\"PSMB7,1327,1857,1357,1968,1694,1501,1133,1488,958,962,1021,817\""
"9161" ",\"PSMB8,223,332,219,283,239,202,79,144,100,47,52,37\""
"9162" ",\"PSMB8-AS1,3,6,8,15,19,15,0,3,4,6,8,3\""
"9163" ",\"PSMB9,226,277,186,113,106,99,15,28,19,14,8,7\""
"9164" ",\"PSMC1,14,20,14,31,18,17,20,26,15,19,28,9\""
"9165" ",\"PSMC1P1,1050,1480,1039,1421,1123,1191,1114,1525,1003,905,973,716\""
"9166" ",\"PSMC1P4,18,27,13,15,20,11,24,27,13,15,19,6\""
"9167" ",\"PSMC2,1316,1797,1183,1882,1317,1482,1199,1560,1048,1010,1056,769\""
"9168" ",\"PSMC3,1242,1702,1133,1835,1553,1316,1082,1604,988,923,1001,806\""
"9169" ",\"PSMC3IP,97,148,105,198,113,120,150,193,118,117,130,119\""
"9170" ",\"PSMC4,1373,1924,1461,2292,1957,1799,1261,1741,1186,1095,1195,994\""
"9171" ",\"PSMC5,653,1069,913,1195,1296,1009,670,1056,676,708,858,692\""
"9172" ",\"PSMC6,747,913,572,882,615,688,680,926,631,550,613,382\""
"9173" ",\"PSMD1,2569,3669,2591,3861,3001,3283,2512,3175,2296,2000,2203,1641\""
"9174" ",\"PSMD10,372,538,318,444,335,364,401,486,358,305,336,217\""
"9175" ",\"PSMD10P1,30,36,31,43,25,31,36,39,30,39,30,20\""
"9176" ",\"PSMD11,490,756,580,829,679,644,572,696,526,451,542,452\""
"9177" ",\"PSMD12,1175,1568,1040,1522,1154,1233,1841,2128,1574,1490,1741,1166\""
"9178" ",\"PSMD12P,57,88,58,102,70,73,109,143,79,66,86,63\""
"9179" ",\"PSMD13,1011,1524,1031,1615,1344,1291,945,1355,957,1080,1218,904\""
"9180" ",\"PSMD14,1712,2233,1512,2221,1523,1815,1502,1978,1397,1063,1145,875\""
"9181" ",\"PSMD2,1724,2669,1926,2813,2477,2222,1491,2020,1304,1854,2082,1558\""
"9182" ",\"PSMD3,1177,1628,1323,1813,1630,1503,1118,1449,1013,846,923,792\""
"9183" ",\"PSMD4,912,1180,796,1377,1066,893,699,934,644,631,711,491\""
"9184" ",\"PSMD5,602,920,602,877,726,780,508,675,493,469,506,380\""
"9185" ",\"PSMD6,1791,2400,1586,2545,1736,2017,1761,2215,1553,1718,1885,1421\""
"9186" ",\"PSMD6-AS2,60,56,61,63,38,47,70,50,63,69,61,49\""
"9187" ",\"PSMD7,1095,1455,969,1395,1005,1180,826,1051,769,680,721,566\""
"9188" ",\"PSMD7P1,47,75,46,75,58,56,50,62,29,34,22,17\""
"9189" ",\"PSMD8,1010,1585,1076,1537,1624,1297,971,1500,828,790,887,677\""
"9190" ",\"PSMD8P1,71,86,103,107,91,89,64,71,67,55,75,73\""
"9191" ",\"PSMD9,200,272,220,321,209,241,205,257,180,285,284,249\""
"9192" ",\"PSME1,841,1164,777,1118,774,849,886,1293,849,938,941,763\""
"9193" ",\"PSME2,118,161,120,142,141,122,87,116,84,61,71,58\""
"9194" ",\"PSME2P2,38,49,42,36,32,45,26,28,20,20,14,18\""
"9195" ",\"PSME3,693,954,661,823,756,823,709,762,520,375,404,313\""
"9196" ",\"PSME3IP1,459,652,440,608,440,448,463,633,379,382,453,362\""
"9197" ",\"PSME4,2231,3281,2190,3080,2550,2857,1998,2546,1645,1913,2157,1629\""
"9198" ",\"PSMF1,369,555,370,577,546,491,572,660,395,552,722,606\""
"9199" ",\"PSMG1,2453,3198,2201,3091,2229,2426,1417,1995,1379,1068,1094,806\""
"9200" ",\"PSMG2,1431,1917,1245,1240,911,945,1034,1367,931,713,765,556\""
"9201" ",\"PSMG3,336,437,322,637,468,455,412,585,375,627,620,479\""
"9202" ",\"PSMG3-AS1,8,10,10,11,11,5,17,23,6,19,16,17\""
"9203" ",\"PSMG4,474,664,462,625,494,486,505,664,380,351,377,322\""
"9204" ",\"PSPC1,1552,2028,1564,2167,1373,1496,1893,2196,1659,1477,1520,1123\""
"9205" ",\"PSPC1P1,193,214,84,201,164,116,164,229,109,110,134,75\""
"9206" ",\"PSPH,303,397,274,431,292,232,439,558,359,270,289,233\""
"9207" ",\"PSPHP1,109,153,118,147,149,124,107,139,92,85,97,75\""
"9208" ",\"PSPN,22,28,22,21,39,20,22,35,21,20,16,21\""
"9209" ",\"PSRC1,157,207,178,216,201,170,83,115,82,73,69,56\""
"9210" ",\"PSTK,152,248,163,262,224,228,140,209,154,171,178,155\""
"9211" ",\"PSTPIP2,600,939,586,554,471,510,687,900,631,351,453,352\""
"9212" ",\"PTAR1,1832,2241,1485,2322,1632,1771,2275,2781,2098,2642,2725,1892\""
"9213" ",\"PTBP1,2825,4173,3297,3728,3955,3304,2698,3537,2404,2308,2483,2208\""
"9214" ",\"PTBP1P,36,58,27,39,62,26,37,66,31,18,28,15\""
"9215" ",\"PTBP2,491,550,404,528,327,350,530,646,469,356,353,284\""
"9216" ",\"PTBP3,2299,2992,2011,2510,2049,2112,1959,2213,1725,1136,1261,874\""
"9217" ",\"PTCD1,60,85,70,106,81,66,66,89,50,46,46,35\""
"9218" ",\"PTCD2,360,479,297,417,304,310,305,387,273,180,239,163\""
"9219" ",\"PTCD3,3650,4848,3366,4765,3445,4010,4306,5576,4010,3096,3365,2425\""
"9220" ",\"PTCH1,71,79,67,92,81,86,80,107,63,77,62,59\""
"9221" ",\"PTCH2,6,19,18,22,9,9,23,33,18,13,22,14\""
"9222" ",\"PTDSS1,6895,9539,7288,7134,5593,6007,4578,5714,4119,2318,2294,1964\""
"9223" ",\"PTDSS2,197,327,296,388,452,326,223,322,179,208,232,190\""
"9224" ",\"PTEN,1520,1966,1354,1785,1248,1386,1337,1723,1194,1109,1178,805\""
"9225" ",\"PTENP1,521,659,429,596,390,461,384,531,330,359,420,283\""
"9226" ",\"PTER,559,703,490,583,426,474,635,731,549,382,389,306\""
"9227" ",\"PTGDR2,32,25,34,25,26,18,2,5,6,2,2,4\""
"9228" ",\"PTGDS,11,20,13,30,19,19,10,11,6,5,7,4\""
"9229" ",\"PTGER1,1,3,1,10,10,4,11,9,10,15,11,10\""
"9230" ",\"PTGER3,210,282,201,40,35,49,45,38,35,12,19,13\""
"9231" ",\"PTGES2,232,363,308,339,327,250,294,396,266,193,182,195\""
"9232" ",\"PTGES3,1560,2002,1288,1719,1375,1469,1391,1534,1091,935,1052,819\""
"9233" ",\"PTGES3L,12,24,20,27,17,13,13,19,10,11,13,8\""
"9234" ",\"PTGES3P1,308,465,259,362,359,285,287,370,234,223,248,189\""
"9235" ",\"PTGES3P2,9,15,15,14,12,15,16,13,16,8,12,5\""
"9236" ",\"PTGES3P3,60,78,45,68,51,58,79,78,42,51,59,33\""
"9237" ",\"PTGES3P4,29,51,27,25,33,34,26,38,34,24,34,25\""
"9238" ",\"PTGR1,52,60,49,74,49,46,48,80,45,35,29,18\""
"9239" ",\"PTGR2,58,96,86,84,58,77,60,64,45,32,37,24\""
"9240" ",\"PTGS1,28,34,26,52,31,27,18,24,11,59,79,66\""
"9241" ",\"PTH2R,235,308,200,162,118,150,355,432,285,174,161,108\""
"9242" ",\"PTK2,918,1334,914,1200,1027,1089,1023,1247,928,763,877,689\""
"9243" ",\"PTK2B,188,274,187,189,207,157,188,263,179,164,223,179\""
"9244" ",\"PTMA,7499,10060,6820,8973,7592,6878,6421,8572,6069,4535,4970,3647\""
"9245" ",\"PTMAP10,11,25,15,8,14,7,9,13,15,7,8,6\""
"9246" ",\"PTMAP2,2680,3412,2520,3446,2938,2468,2315,3035,1914,1612,1763,1361\""
"9247" ",\"PTMAP3,16,20,6,17,14,4,9,16,12,5,7,6\""
"9248" ",\"PTMAP4,62,82,29,32,32,27,55,56,38,25,36,20\""
"9249" ",\"PTMAP5,1040,1405,1073,1363,1488,936,903,1343,843,616,675,575\""
"9250" ",\"PTMAP8,29,16,9,19,17,16,12,32,11,5,8,3\""
"9251" ",\"PTMAP9,35,39,14,18,22,19,15,40,10,13,12,8\""
"9252" ",\"PTMS,17,38,22,48,59,36,30,64,22,54,53,56\""
"9253" ",\"PTOV1,357,548,432,584,564,472,398,445,338,327,385,325\""
"9254" ",\"PTOV1-AS1,134,184,137,232,144,159,216,257,179,210,225,177\""
"9255" ",\"PTOV1-AS2,23,30,15,25,23,22,13,26,10,16,20,15\""
"9256" ",\"PTP4A1,1203,1617,1045,1319,1157,1066,1468,1635,1331,1088,1248,846\""
"9257" ",\"PTP4A1P7,5,11,9,2,5,7,13,8,16,7,16,9\""
"9258" ",\"PTP4A2,4323,5994,4122,6144,4502,4632,4437,5664,3845,3676,4084,2976\""
"9259" ",\"PTP4A2P1,439,556,508,609,465,511,437,525,497,453,440,342\""
"9260" ",\"PTP4A2P2,32,31,20,43,22,35,24,36,23,13,35,12\""
"9261" ",\"PTP4A3,2,1,0,11,17,4,1,8,4,23,22,19\""
"9262" ",\"PTPA,507,819,600,710,821,628,506,672,448,326,407,345\""
"9263" ",\"PTPDC1,95,123,96,226,161,185,119,166,95,217,280,179\""
"9264" ",\"PTPMT1,89,126,90,129,89,65,54,80,51,45,47,37\""
"9265" ",\"PTPN1,381,626,400,489,456,406,392,536,345,251,281,234\""
"9266" ",\"PTPN11,2725,3992,2723,3523,2844,2915,2757,3450,2442,2008,2427,1685\""
"9267" ",\"PTPN12,254,384,250,218,229,201,157,190,172,83,109,69\""
"9268" ",\"PTPN18,204,329,250,198,272,169,133,203,137,79,93,81\""
"9269" ",\"PTPN2,1051,1399,935,1089,750,778,745,974,661,456,545,366\""
"9270" ",\"PTPN21,19,19,14,27,21,24,7,22,12,10,8,4\""
"9271" ",\"PTPN22,78,98,77,100,63,68,110,138,91,46,47,30\""
"9272" ",\"PTPN23,125,169,122,182,124,128,220,261,159,126,144,116\""
"9273" ",\"PTPN2P1,149,213,162,195,119,130,105,165,107,72,75,62\""
"9274" ",\"PTPN2P2,85,128,121,89,53,77,75,61,85,45,45,48\""
"9275" ",\"PTPN4,713,963,670,1040,654,747,923,1239,895,797,865,605\""
"9276" ",\"PTPN6,265,375,286,253,269,215,106,114,85,30,31,25\""
"9277" ",\"PTPN7,755,1096,874,883,861,823,820,920,661,299,399,334\""
"9278" ",\"PTPN9,161,274,195,179,143,154,127,163,112,40,78,48\""
"9279" ",\"PTPRA,615,859,621,825,708,635,704,897,626,535,704,501\""
"9280" ",\"PTPRB,99,110,102,94,52,94,72,102,80,15,24,18\""
"9281" ",\"PTPRC,386,495,324,541,416,449,269,333,252,240,244,156\""
"9282" ",\"PTPRE,42,59,37,48,48,52,33,52,25,13,15,14\""
"9283" ",\"PTPRF,1,4,2,9,15,9,13,9,9,29,21,29\""
"9284" ",\"PTPRH,9,20,14,63,45,36,139,178,131,136,154,148\""
"9285" ",\"PTPRJ,18,33,31,232,195,180,135,199,110,514,641,409\""
"9286" ",\"PTPRK,4,5,3,24,19,18,8,12,2,25,19,15\""
"9287" ",\"PTPRR,37,48,41,14,10,23,42,46,38,17,10,7\""
"9288" ",\"PTPRS,13,15,24,18,20,13,24,16,10,12,12,8\""
"9289" ",\"PTPRVP,7,17,12,12,11,7,17,19,14,9,13,16\""
"9290" ",\"PTRH2,467,687,451,661,540,625,575,759,564,521,621,410\""
"9291" ",\"PTRHD1,169,215,163,228,176,162,121,162,87,113,121,88\""
"9292" ",\"PTS,133,181,115,185,145,139,115,175,130,118,142,103\""
"9293" ",\"PTTG1,873,1204,760,1173,873,849,891,1222,811,749,941,627\""
"9294" ",\"PTTG1IP,1463,2003,1527,2227,1754,1578,1504,2005,1354,1446,1581,1232\""
"9295" ",\"PTTG2,69,72,28,63,50,35,58,74,34,47,37,42\""
"9296" ",\"PTTG3P,129,215,143,177,119,120,142,186,128,90,126,84\""
"9297" ",\"PUDP,88,163,117,134,110,113,80,112,75,59,61,48\""
"9298" ",\"PUF60,870,1420,1086,1696,1645,1266,868,1242,783,778,851,770\""
"9299" ",\"PUM1,872,1280,914,1135,930,977,1282,1483,1000,874,850,775\""
"9300" ",\"PUM2,2732,4016,2890,3500,3124,3040,2730,3452,2485,2278,2631,1884\""
"9301" ",\"PUM3,980,1361,833,1223,870,1136,1231,1687,1111,743,817,532\""
"9302" ",\"PURA,569,716,524,683,511,582,647,768,606,576,637,476\""
"9303" ",\"PURB,841,1188,843,990,788,875,1258,1428,1008,1059,1095,752\""
"9304" ",\"PURG,0,3,4,3,3,1,12,11,9,11,15,11\""
"9305" ",\"PURPL,4,13,9,69,53,59,1,3,5,55,75,44\""
"9306" ",\"PUS1,296,510,434,466,517,496,420,531,354,279,301,270\""
"9307" ",\"PUS10,137,140,87,113,86,85,159,219,151,119,154,95\""
"9308" ",\"PUS3,237,332,214,381,282,291,181,211,177,165,158,125\""
"9309" ",\"PUS7,713,948,622,798,723,851,624,753,526,345,377,300\""
"9310" ",\"PUS7L,1408,1878,1266,1677,1247,1556,1138,1404,1034,737,836,539\""
"9311" ",\"PUSL1,34,48,41,65,78,53,38,39,35,51,41,38\""
"9312" ",\"PVR,284,428,300,338,297,350,195,275,172,112,138,109\""
"9313" ",\"PVT1,510,724,588,599,427,466,676,854,592,385,381,291\""
"9314" ",\"PWAR5,281,404,261,335,215,264,237,289,186,185,177,123\""
"9315" ",\"PWP1,1118,1513,1054,1568,1322,1500,820,1017,709,571,693,423\""
"9316" ",\"PWP2,96,135,117,157,157,150,84,94,71,57,77,48\""
"9317" ",\"PWWP2A,382,469,341,503,387,388,456,535,368,341,436,329\""
"9318" ",\"PWWP2B,3,10,7,60,53,50,4,7,2,22,12,25\""
"9319" ",\"PWWP3A,203,328,282,226,233,194,199,247,196,71,70,61\""
"9320" ",\"PXK,114,160,111,192,141,131,231,285,165,321,341,274\""
"9321" ",\"PXMP2,68,98,64,85,69,70,30,57,29,47,41,30\""
"9322" ",\"PXMP4,304,401,281,318,247,228,183,283,180,153,162,131\""
"9323" ",\"PXN,30,45,31,54,52,42,62,90,46,39,46,30\""
"9324" ",\"PXN-AS1,61,70,51,66,54,63,50,80,45,44,57,35\""
"9325" ",\"PYCARD,62,82,72,67,56,45,5,8,5,3,3,2\""
"9326" ",\"PYCR1,744,1072,841,1385,1177,885,1335,1765,1171,1267,1356,1155\""
"9327" ",\"PYCR2,259,359,253,369,361,253,330,468,281,382,482,387\""
"9328" ",\"PYCR3,79,139,115,118,185,101,79,104,64,74,105,73\""
"9329" ",\"PYGB,316,484,338,411,403,381,254,302,209,214,211,213\""
"9330" ",\"PYGL,1145,1643,1178,1393,1038,1061,313,417,281,113,112,98\""
"9331" ",\"PYGO1,584,807,557,382,248,332,286,301,245,117,160,76\""
"9332" ",\"PYGO2,95,162,118,135,153,113,118,151,93,93,105,88\""
"9333" ",\"PYM1,311,425,338,389,306,282,301,399,280,249,238,189\""
"9334" ",\"PYROXD1,225,351,240,285,180,175,351,438,316,300,344,219\""
"9335" ",\"PYROXD2,32,43,28,20,30,20,13,29,22,20,27,19\""
"9336" ",\"PYY2,11,14,9,4,14,4,12,14,9,5,5,7\""
"9337" ",\"PZP,2,5,4,9,5,4,17,22,8,15,11,13\""
"9338" ",\"QARS1,2559,3879,3036,4287,3861,3393,2055,2813,1912,1907,2090,1779\""
"9339" ",\"QDPR,179,312,264,285,342,245,120,190,147,135,148,111\""
"9340" ",\"QKI,1748,2363,1611,2310,1738,1882,2009,2401,1723,1944,2059,1527\""
"9341" ",\"QPCTL,38,78,67,63,87,41,56,67,32,20,24,39\""
"9342" ",\"QPRT,235,338,255,392,293,309,272,354,257,152,177,143\""
"9343" ",\"QRICH1,885,1353,999,1286,1229,1150,981,1279,887,815,838,727\""
"9344" ",\"QRICH2,9,9,13,19,11,17,24,27,13,32,28,25\""
"9345" ",\"QRSL1,636,810,542,753,612,686,416,502,364,262,268,217\""
"9346" ",\"QRSL1P1,36,49,41,47,36,47,27,17,27,15,14,7\""
"9347" ",\"QRSL1P3,15,13,10,6,5,14,10,17,8,6,7,4\""
"9348" ",\"QSER1,1179,1556,1074,1188,815,1078,977,1136,804,494,479,370\""
"9349" ",\"QSOX1,19,45,27,32,35,18,19,36,23,8,18,20\""
"9350" ",\"QSOX2,330,485,368,430,420,394,513,657,433,529,575,458\""
"9351" ",\"QTRT1,387,627,462,676,722,582,333,520,381,348,296,299\""
"9352" ",\"QTRT1P1,119,157,123,134,46,99,62,104,52,24,12,11\""
"9353" ",\"QTRT2,394,628,429,509,509,469,276,316,224,118,125,115\""
"9354" ",\"R3HCC1,207,293,205,294,210,174,222,290,207,202,193,151\""
"9355" ",\"R3HCC1L,461,661,422,646,412,515,454,541,374,368,347,287\""
"9356" ",\"R3HDM1,504,692,454,602,412,459,435,471,327,238,225,198\""
"9357" ",\"R3HDM2,133,142,95,124,80,83,179,215,143,108,115,82\""
"9358" ",\"R3HDM4,143,169,156,194,225,158,189,285,192,238,264,266\""
"9359" ",\"RAB10,1591,2209,1508,1992,1678,1734,1714,2151,1628,1494,1616,1291\""
"9360" ",\"RAB11A,793,1130,772,1022,766,826,697,872,647,511,532,375\""
"9361" ",\"RAB11AP1,10,21,24,14,3,18,10,7,11,14,8,14\""
"9362" ",\"RAB11B,59,80,64,83,72,63,136,191,117,98,104,70\""
"9363" ",\"RAB11B-AS1,20,26,25,26,25,16,17,30,20,21,32,21\""
"9364" ",\"RAB11FIP1,888,1228,785,1460,1174,1067,1298,1663,1129,1364,1422,1173\""
"9365" ",\"RAB11FIP1P1,15,27,24,21,19,17,29,33,32,40,37,43\""
"9366" ",\"RAB11FIP2,231,319,219,291,215,256,346,354,274,248,265,186\""
"9367" ",\"RAB11FIP3,86,154,120,176,149,116,116,187,94,89,81,74\""
"9368" ",\"RAB11FIP4,1,2,7,54,37,41,6,12,5,21,32,27\""
"9369" ",\"RAB12,173,229,172,123,102,130,223,266,196,136,159,124\""
"9370" ",\"RAB13,177,310,228,290,289,231,138,236,126,152,180,131\""
"9371" ",\"RAB14,631,831,560,661,467,563,625,642,443,337,382,286\""
"9372" ",\"RAB18,670,958,653,832,580,648,764,935,685,634,798,493\""
"9373" ",\"RAB1A,689,979,679,1005,780,786,605,787,529,509,567,447\""
"9374" ",\"RAB1B,67,86,72,76,83,51,52,86,48,49,52,52\""
"9375" ",\"RAB1C,39,56,48,45,51,45,47,55,29,33,26,31\""
"9376" ",\"RAB21,634,904,598,769,688,677,696,915,608,680,800,531\""
"9377" ",\"RAB22A,388,533,398,548,419,409,340,442,328,299,348,239\""
"9378" ",\"RAB23,253,334,200,342,224,255,269,302,197,195,216,154\""
"9379" ",\"RAB24,37,57,45,48,69,55,45,60,51,53,43,28\""
"9380" ",\"RAB26,28,52,31,36,47,43,54,76,44,48,38,54\""
"9381" ",\"RAB27A,132,186,143,287,220,200,561,734,482,940,1134,718\""
"9382" ",\"RAB27B,79,108,52,11,7,15,16,11,7,2,0,3\""
"9383" ",\"RAB28,217,302,184,251,146,175,179,254,159,132,163,112\""
"9384" ",\"RAB28P5,28,30,29,18,16,13,33,38,21,6,5,9\""
"9385" ",\"RAB29,235,327,217,210,187,177,35,56,34,13,10,5\""
"9386" ",\"RAB2A,784,1062,725,899,738,763,641,818,600,481,584,427\""
"9387" ",\"RAB2B,128,175,134,195,164,140,169,194,169,224,274,206\""
"9388" ",\"RAB30,19,42,35,42,45,44,30,37,33,34,34,27\""
"9389" ",\"RAB30-DT,133,169,123,153,136,131,139,191,137,128,157,101\""
"9390" ",\"RAB31,1,2,1,32,17,27,8,12,8,17,14,8\""
"9391" ",\"RAB32,130,170,115,88,74,77,14,16,10,5,7,6\""
"9392" ",\"RAB33B,122,197,105,172,116,120,94,124,97,88,126,68\""
"9393" ",\"RAB35,255,333,212,255,306,231,154,241,157,128,152,136\""
"9394" ",\"RAB37,12,12,9,13,9,0,11,15,5,9,9,5\""
"9395" ",\"RAB38,76,95,55,101,90,81,17,38,22,10,13,3\""
"9396" ",\"RAB39B,16,36,26,38,23,20,15,19,13,36,30,21\""
"9397" ",\"RAB3A,8,12,11,10,7,12,12,17,12,5,8,3\""
"9398" ",\"RAB3GAP1,1211,1653,1131,1506,1043,1089,1420,1841,1358,992,1133,790\""
"9399" ",\"RAB3GAP2,1593,2115,1468,2198,1563,1701,1346,1745,1183,1189,1352,964\""
"9400" ",\"RAB3IL1,26,59,35,74,59,51,82,99,68,86,96,83\""
"9401" ",\"RAB3IP,30,50,32,117,90,74,60,68,53,354,340,264\""
"9402" ",\"RAB40B,10,22,9,22,16,23,10,12,10,10,21,11\""
"9403" ",\"RAB40C,58,120,92,166,184,134,103,116,82,83,93,82\""
"9404" ",\"RAB42,49,56,50,36,26,32,4,10,8,1,1,1\""
"9405" ",\"RAB4A,509,710,521,661,545,559,411,568,380,374,395,274\""
"9406" ",\"RAB4B,19,33,23,20,19,18,37,39,23,26,29,33\""
"9407" ",\"RAB5A,513,703,464,553,420,484,462,661,407,436,500,328\""
"9408" ",\"RAB5B,89,124,84,116,91,106,173,174,151,133,175,180\""
"9409" ",\"RAB5C,117,171,123,149,208,156,100,150,87,81,103,84\""
