",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"111" ",\"ACD,53,70,50,56,62,39,60,73,42,32,31,36\""
"112" ",\"ACER2,39,56,46,45,56,48,28,46,27,41,39,42\""
"113" ",\"ACER3,377,524,406,362,269,300,119,148,137,89,94,82\""
"114" ",\"ACHE,38,63,46,126,116,86,138,192,122,193,242,209\""
"115" ",\"ACIN1,2089,3045,2381,2983,2841,2619,2008,2632,1838,1673,1904,1515\""
"116" ",\"ACKR1,17,16,24,62,61,43,25,44,21,46,34,39\""
"117" ",\"ACKR2,6,5,4,1,2,2,13,17,8,13,8,6\""
"118" ",\"ACKR4,11,14,12,14,10,8,11,12,9,6,6,5\""
"119" ",\"ACLY,3479,5182,3582,4423,3523,3950,3085,3812,2750,1584,1614,1406\""
"120" ",\"ACO1,758,1120,850,1112,1007,970,436,609,395,361,405,360\""
"121" ",\"ACO2,243,430,359,451,549,399,357,505,339,343,438,371\""
"122" ",\"ACOT1,270,372,286,466,379,324,100,144,73,60,54,47\""
"123" ",\"ACOT11,2,6,5,15,14,12,0,2,6,4,9,3\""
"124" ",\"ACOT13,473,603,439,626,461,462,569,709,533,557,528,376\""
"125" ",\"ACOT2,275,380,285,432,340,341,131,162,112,83,71,63\""
"126" ",\"ACOT4,30,46,27,35,24,18,12,14,6,1,2,5\""
"127" ",\"ACOT7,58,111,110,104,147,84,97,148,86,56,72,66\""
"128" ",\"ACOT8,140,182,139,166,133,130,244,263,192,146,152,120\""
"129" ",\"ACOT9,559,712,488,661,471,535,187,227,156,113,104,90\""
"130" ",\"ACOX1,990,1413,1008,1709,1217,1288,862,1173,843,1063,1141,908\""
"131" ",\"ACOX3,120,190,137,169,139,121,107,129,84,80,86,62\""
"132" ",\"ACP1,1354,1845,1241,1699,1370,1494,835,1089,827,905,930,647\""
"133" ",\"ACP2,67,91,61,81,96,66,82,101,49,44,45,45\""
"134" ",\"ACP4,14,34,18,18,22,24,37,47,32,25,28,28\""
"135" ",\"ACP5,9,14,19,14,19,6,16,16,12,16,10,16\""
"136" ",\"ACP6,65,89,65,107,48,60,7,18,11,11,6,7\""
"137" ",\"ACPP,642,924,617,334,346,421,87,115,82,8,14,15\""
"138" ",\"ACRV1,31,28,20,20,16,24,26,19,21,16,28,12\""
"139" ",\"ACSBG1,200,341,259,932,663,666,787,944,661,1588,1609,1320\""
"140" ",\"ACSBG2,14,28,15,17,23,14,16,19,6,20,12,9\""
"141" ",\"ACSF2,139,169,150,136,113,108,190,201,150,119,129,97\""
"142" ",\"ACSF3,101,179,126,181,154,124,323,433,311,390,403,378\""
"143" ",\"ACSL1,648,915,703,672,426,457,1660,2151,1400,1624,1695,1225\""
"144" ",\"ACSL3,1370,1992,1263,1889,1336,1455,1778,2234,1637,1521,1770,1201\""
"145" ",\"ACSL4,1504,1950,1332,1352,886,1060,2359,2808,2118,1040,1140,790\""
