"sgSCR_pre_r1"	"sgSCR_pre_r2"	"sgSCR_pre_r3"	"MBD2KO_pre_r1"	"MBD2KO_pre_r2"	"MBD2KO_pre_r3"	"sgSCR_post_r1"	"sgSCR_post_r2"	"sgSCR_post_r3"	"MBD2KO_post_r1"	"MBD2KO_post_r2"	"MBD2KO_post_r3"
"ABHD16A"	7.13550855818242	7.28949660185651	6.91497473358875	6.79227590655498	7.35938159823513	6.50336806194657	7.01291988306398	7.11861207232997	6.80782372844539	7.88498083711248	11.1656385439463	8.74917544702866
"ABHD17A"	58.6352659781078	62.1094863525529	65.7970323135415	62.3941623974236	84.5360544113061	70.6502257638741	52.2305525619243	52.4997640334336	47.0678847432173	48.2297994536714	46.3434029888526	54.6823465439291
"ABHD17AP1"	4.65359253794506	5.87622685251698	10.5820067892798	8.13493509738561	10.1675666817722	9.16383681456108	4.91951096274638	4.20645258819498	5.51668474546437	4.99382119683791	4.44224329167758	5.15576410271332
"ABHD17AP3"	2.58532918774726	2.00833069642986	1.25726813337977	1.65857900043784	3.58285683071973	1.47803819589695	1.77939758226997	2.02233297509374	1.29113898298102	2.10266155656333	1.44072755405759	1.24988220671838
"ABHD17B"	37.2287403035605	31.6869954325599	33.6319225679089	29.0646224838632	26.0483374990164	30.5461227152036	25.5395888278748	20.0615431129299	25.4706508460802	22.6036117330558	22.2112164583879	21.8729386175716
"ABHD17C"	5.17065837549451	5.7274616157444	5.02907253351909	0.0789799524018021	0.290501905193492	0.29560763917939	1.15137490617468	0.647146552029998	1.17376271180093	0	0	0.156235275839797
"ABHD18"	36.8150876335209	41.4311184411641	37.6132716569449	39.1740563912938	35.3443984652082	39.5128877703117	45.1129622328444	43.8441789000323	51.0586779633405	42.973145562263	46.4634636183574	39.9962306149881
"ABHD2"	65.0468823637209	71.7792267427708	65.9018046579898	59.1559843489497	56.0668677023439	60.5010301520484	119.428978904119	110.0149138451	117.024142366553	110.652564414145	113.81747677055	114.832927742251
"ABHD3"	18.9246096543099	18.2237415046413	16.4492580783854	11.5310730506631	11.5232422393418	12.4155208455344	10.467044601588	10.5970247894912	8.68584406732688	5.51948658597874	5.76291021623037	6.4056463094317
"ABHD4"	4.96383204047473	4.53733972156375	5.97202363355392	6.16043628734056	4.55119651469804	5.91215278358779	7.01291988306398	6.14789224428498	5.98618983018474	8.67347892082373	8.04406217682156	8.59294017118886
"ABHD5"	40.7447879988967	38.3070484689398	38.3466780680831	52.0477886327876	46.7708067361522	50.3518345402227	78.9215162959738	73.2893470173972	77.1162101653211	154.67704075469	142.151785333683	147.798570944448
"ABHD6"	9.30718507589012	9.37220991667266	10.5820067892798	7.97697519258201	6.19737397746116	6.79897570112596	7.01291988306398	5.41985237325123	7.62945762670604	3.2854086821302	3.72187951464878	3.74964662015514
"ABHD8"	2.68874235525715	2.60339164352018	5.02907253351909	3.8700176676883	3.97019270431106	4.72972222687023	5.02418140876226	3.96377263118374	4.81242711838381	3.81107407127103	5.28266769821118	7.18682268863068
"ABI1"	77.0428097948682	75.9446533724031	75.1217709694414	69.5813380659876	67.493275973288	67.6941493720802	72.1179373049416	77.1722263295772	70.5431389792359	71.6219092704384	62.3114667129909	68.5872860936711
"ABI2"	50.0519730747869	45.2246319788649	43.2709782571538	41.4644750109461	41.9291083162607	43.1587153201909	43.6475759886221	37.6962866557474	40.7295660994923	55.3262822070726	61.3509816769525	60.3068164741618
"ABI3"	0.10341316750989	0	0	0.631839619214416	0.193667936795661	0.29560763917939	0.418681784063521	0.566253233026248	0.821633898260651	1.97124520927812	1.44072755405759	2.34352913759696
"ABI3BP"	2.17167651770769	1.6364176044984	1.4668128222764	1.42163914323244	0.774671747182645	1.57657407562341	1.98873847430173	1.53697306107124	2.11277288124167	3.41682502941541	3.48175825563918	1.87482331007757
"ABITRAM"	25.6464655424528	24.6206466858623	24.3071839120089	27.4060434834253	26.5325073410056	28.082725722042	21.9807936633349	23.5399558300912	25.0011457613598	24.4434405950487	29.8950967466951	26.0912910652462
"ABL1"	26.8874235525715	29.3067516441986	31.5364756789426	28.9066625790596	36.4095721175843	28.2797974814949	39.5654285940028	40.1230862258599	37.2082779640895	54.2749514287909	53.0667982411214	60.150581198322
"ABL2"	28.2317947302	26.7033600006784	31.9555650567359	26.3003241498001	24.6926619414468	28.2797974814949	34.122565401177	33.8943006625711	35.2128813540279	23.7863588586227	26.2932778615511	21.560468065892
"ABO"	1.24095801011868	0.892591420635491	1.04772344448314	1.97449881004505	1.74301143116095	1.67510995534987	2.82610204242877	1.94143965608999	1.99539661006158	1.44557982013729	1.0805456655432	0.781176379198987
"ABR"	15.4085619589736	16.7360891369155	18.2303879340067	14.4533312895298	20.3351333635444	17.3423148318575	12.4557830758898	11.8104245745475	10.094359321488	7.88498083711248	6.48327399325917	7.49929324031028
"ABRACL"	12.4095801011868	11.6036884682614	10.2676897559348	12.9527121938955	12.2979139865245	12.5140567252608	4.8148405167305	5.17717241623998	7.74683389788614	3.15399233484499	3.84194014415358	3.28094079263575
"ABRAXAS1"	37.4355666385803	39.4227877447342	38.975312134773	42.6491742969731	42.0259422846585	36.7538831379708	33.4945427250817	36.4828868706911	39.9079322012316	52.5665389140832	51.8661919460734	49.8390529928954
"ABRAXAS2"	18.7177833192901	22.761081226205	22.2117370230427	19.5870281956469	24.2084920994577	23.2544676154453	20.3060665270808	21.5985161740012	25.4706508460802	23.6549425113375	25.2127321960079	24.5289383068482
"ABT1"	46.9495780494902	46.3403712546593	52.0718551908123	49.9153299179389	51.5156711876459	53.9976620901018	39.4607581479869	39.9612995878524	40.0253084724117	34.5624993360097	37.699037664507	36.246583994833
"ABTB1"	0.827305340079122	1.19012189418066	1.25726813337977	1.73755895283965	2.32401524154793	1.47803819589695	1.15137490617468	1.21339978505625	0.704257627080558	6.30798466968999	6.84345588177357	6.4056463094317
"ABTB2"	1.75802384766813	2.97530473545164	2.09544688896629	2.21143866725046	1.83984539955878	1.8721817148028	3.14011338047641	4.12555926919123	4.22554576248335	2.62832694570416	2.16109133108639	2.65599968927656
"ACAA1"	20.4758071669583	27.1496557109962	32.6889714678741	24.5627651969604	33.6982210024451	25.520792849154	17.6893053766838	18.6863566898662	18.7802033888149	16.0327943687954	17.8890337962151	18.7482331007757
"ACAA2"	84.2817315205605	85.3168632890757	80.8842499140987	67.9227590655498	68.4616156572663	65.6248958978245	43.3335646505745	42.8734590719873	39.7905559300515	51.5152081358016	55.107828942703	47.1830533036188
"ACACA"	87.590952880877	83.4572978294184	88.4278587143774	88.1416268804111	95.0909569666697	101.984635516889	217.400516374983	200.858111086311	194.727233887774	176.097905362179	177.929852926113	176.702096974811
